"partyname","linked","total","linkedrecords","allrecords","missing"
AAM AADMI PARTY,652500000,654500000,243,245,2
ADYAKSHA SAMAJVADI PARTY,132100000,140500000,16,46,30
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,0,60500000,0,38,38
ALL INDIA TRINAMOOL CONGRESS,15925214000,16095314000,3269,3305,36
BHARAT RASHTRA SAMITHI,11911599000,12147099000,1773,1806,33
BHARATIYA JANATA PARTY,55942011000,60605111000,7488,8633,1145
BIHAR PRADESH JANTA DAL(UNITED),120000000,140000000,12,14,2
BIJU JANATA DAL,7755000000,7755000000,861,861,0
DRAVIDA MUNNETRA KAZHAGAM (DMK),6320000000,6390000000,641,648,7
GOA FORWARD PARTY,3500000,3500000,17,17,0
JAMMU AND KASHMIR NATIONAL CONFERENCE,5000000,5000000,5,5,0
JANASENA PARTY,210000000,210000000,39,39,0
JANATA DAL ( SECULAR ),410000000,435000000,50,75,25
JHARKHAND MUKTI MORCHA,125000000,135000000,35,45,10
MAHARASHTRAWADI GOMNTAK PARTY,5500000,5500000,28,28,0
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,285000000,310000000,96,121,25
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13510945000,14218655000,2908,3146,238
RASHTRIYA JANTA DAL,725000000,735000000,140,150,10
SHIROMANI AKALI DAL,72600000,72600000,33,33,0
SHIVSENA,1524514000,1593814000,319,355,36
SIKKIM DEMOCRATIC FRONT,55000000,55000000,10,10,0
SIKKIM KRANTIKARI MORCHA,365000000,365000000,50,50,0
TELUGU DESAM PARTY,2115800000,2188800000,260,279,19
YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),3287500000,3370000000,448,472,24
